model,fold,auc_roc,pr_auc,sensitivitas,spesifisitas,ppv,npv,f1,akurasi,brier,calibration_intercept,calibration_slope,ambang
xgboost,1,0.8140123519287232,0.8760320798908436,0.5798319327731093,0.9156626506024096,0.9078947368421053,0.6031746031746031,0.7076923076923077,0.7178217821782178,0.17809553837979286,-0.042743264363299976,0.8100109028887219,0.8020634055137634
xgboost,2,0.8450071472329999,0.8870522664800651,0.8050847457627118,0.7951807228915663,0.8482142857142857,0.7415730337078652,0.8260869565217391,0.8009950248756219,0.15898879542951627,0.1485283642002548,1.004054174195997,0.5357536673545837
xgboost,3,0.8357245337159254,0.8839052956187117,0.7983193277310925,0.7804878048780488,0.8407079646017699,0.7272727272727273,0.8189655172413793,0.7910447761194029,0.16133484009744928,-0.010932623641010976,0.81361498685904,0.5825868248939514
xgboost,4,0.8357245337159253,0.8877063057698068,0.7058823529411765,0.8536585365853658,0.875,0.6666666666666666,0.7813953488372093,0.7661691542288557,0.1648241874438226,-0.04455786342311558,0.9523485823025297,0.6730645895004272
xgboost,5,0.7703422832547654,0.8067508395971652,0.6302521008403361,0.8170731707317073,0.8333333333333334,0.6036036036036037,0.7177033492822966,0.7064676616915423,0.1985240783625874,-0.19261706478597942,0.6074670192165834,0.7591850757598877
random_forest,1,0.8328439809658803,0.8862276480720519,0.7394957983193278,0.7951807228915663,0.8380952380952381,0.6804123711340206,0.7857142857142857,0.7623762376237624,0.1669683469292645,0.03560316725800777,1.2572303262832645,0.6166222362505601
random_forest,2,0.8575658566469266,0.8894939378936528,0.8728813559322034,0.7590361445783133,0.8373983739837398,0.8076923076923077,0.8547717842323651,0.8258706467661692,0.15761722048206356,0.0936168478567315,1.4921835571590818,0.5183744604834405
random_forest,3,0.8418733346997336,0.8746544052030651,0.7815126050420168,0.8414634146341463,0.8773584905660378,0.7263157894736842,0.8266666666666667,0.8059701492537313,0.1591607128179219,-0.01699284550420603,1.2503950570512188,0.5961569307272192
random_forest,4,0.8524287763886041,0.8933778378495438,0.7815126050420168,0.7804878048780488,0.8378378378378378,0.7111111111111111,0.808695652173913,0.7810945273631841,0.15755003531260678,-0.04453258143826454,1.4482878852158927,0.5922743095993055
random_forest,5,0.7628612420577987,0.8158281538137917,0.6470588235294118,0.7439024390243902,0.7857142857142857,0.5922330097087378,0.7096774193548387,0.6865671641791045,0.1976027337363682,-0.10320668777340386,0.8124020044535526,0.6767375354914591
elastic_net_lr,1,0.8215045054166246,0.8762188672176083,0.6974789915966386,0.8192771084337349,0.8469387755102041,0.6538461538461539,0.7649769585253456,0.7475247524752475,0.16940821765735964,0.0353565791356838,1.2270555100756402,0.5858003228590523
elastic_net_lr,2,0.8606289565039821,0.8927601547000357,0.7966101694915254,0.8072289156626506,0.8545454545454545,0.7362637362637363,0.8245614035087719,0.8009950248756219,0.1518641731836966,0.1452441128354771,1.4404197182482488,0.5426603427161107
elastic_net_lr,3,0.8434105349456856,0.8861824224734868,0.7058823529411765,0.8902439024390244,0.9032258064516129,0.6759259259259259,0.7924528301886793,0.7810945273631841,0.1590758676893734,-0.06168253358737663,1.179309671271669,0.6709902020390465
elastic_net_lr,4,0.8631891781102685,0.9081769463747966,0.7478991596638656,0.8292682926829268,0.8640776699029126,0.6938775510204082,0.8018018018018018,0.7810945273631841,0.15133017074423002,-0.05756469151804459,1.5396768239111964,0.59260631856283
elastic_net_lr,5,0.7691125230580038,0.8199075618104401,0.6302521008403361,0.7682926829268293,0.7978723404255319,0.5887850467289719,0.704225352112676,0.6865671641791045,0.19604969041388912,-0.18492280997194016,0.6195404657412263,0.7129844299037807
